evaluation_id,session_id,task_id,task_order,agent,strategy,scope_id,rule_id,category,file,message,delta_scope,change_type
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-STATE-C-002-context-provider-only-in-controlled-locations,STATE,frontend/src/themes/index.jsx,Context providers must stay at an approved application or route boundary.,absolute,current
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-STATE-C-002-context-provider-only-in-controlled-locations,STATE,frontend/src/themes/index.jsx,Context providers must stay at an approved application or route boundary.,absolute,current
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-DUP-C-002-single-authoritative-implementation,DUP,frontend/src/layout/components/Navbar/HeaderContent/Notification.jsx,function-clone logic has more than one production implementation.,absolute,current
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-DUP-C-002-single-authoritative-implementation,DUP,frontend/src/pages/contacts/contactQueries.js,3 substantive duplicate implementation groups exist across the same files.,absolute,current
baseline/Base,baseline,Base,0,baseline,baseline,frontend,FE-DUP-C-002-single-authoritative-implementation,DUP,frontend/src/pages/contacts/ContactTable.jsx,component-clone logic has more than one production implementation.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,DOM,backend/src/modules/deal/deal.service.ts,Cross-module imports must use index.ts or the target module file.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-DOM-C-001-no-cross-module-deep-import,DOM,backend/src/modules/deal/deal.service.ts,Cross-module imports must use index.ts or the target module file.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,backend/src/modules/deal/deal.entity.ts,Persistent change deals.name lacks a matching executable migration.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,backend/src/modules/deal/deal.entity.ts,Persistent change deals.value lacks a matching executable migration.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,backend/src/modules/deal/deal.entity.ts,Persistent change deals.expectedCloseDate lacks a matching executable migration.,absolute,current
session_20260817_014141/T1,session_20260817_014141,T1,1,codex,minimal,backend,BE-CONTRACT-C-001-entity-change-requires-migration,CONTRACT,backend/src/modules/deal/deal.entity.ts,Persistent change deals.createdAt lacks a matching executable migration.,absolute,current
